messageKey,,en,de,es,fr,pt,ru,zh
modifier.horizons.name.damage_boost,Damage Boost,Damage Boost,Schadensschub,Mejora del daño,Boost des dégâts,Incremento de Dano,Бонусный урон,
modifier.horizons.name.damage_falloff_start,Damage Falloff Start,Damage Falloff Start,Schadenserscheinungsstart,Inicio de la caída de daño,Début des dégâts,Início de Perda de Eficiência,Радиус полного урона,
modifier.horizons.name.damage_increases_with_heat_level,Damage Increases With Heat Level,Damage Increases With Heat Level,Der Schaden nimmt mit dem Wärmespiegel zu,El daño aumenta con el nivel de calor,Les dommages augmentent avec le niveau de chaleur,Dano aumenta com o nível de calor,Увеличивает урон при высоком нагреве,
modifier.horizons.name.damage_multiplier,Damage Multiplier,Damage Multiplier,,Multiplicador de Daño,,Multiplicador de Dano,Множитель урона,
modifier.horizons.name.damage_partially_explosive,Damage Partially Explosive,Damage Partially Explosive,Teilweise explosiv Schaden,Daño parcialmente explosivo,Dommages partiellement explosifs,Dano parcialmente explosivo,Часть урона становится взрывным,
modifier.horizons.name.damage_partially_kinetic,Damage Partially Kinetic,Damage Partially Kinetic,Teilweise kinetisch schädigen,Daño parcialmente cinético,Dommages partiellement cinétiques,Danos parcialmente cinético,Часть урона становится кинетическим,
modifier.horizons.name.damage_partially_thermal,Damage Partially Thermal,Damage Partially Thermal,Teilweise thermisch schaden,Daño parcialmente térmico,Dommage partiellement thermique,Dano parcialmente térmico,Часть урона становится тепловым,
modifier.horizons.name.damage_per_second,Damage Per Second,Damage Per Second,,Daño Por Segundo,,Dano por Segundo,Урон в секунду,
modifier.horizons.name.damage_type,Damage Type,Damage Type,,Tipo de Daño,,Tipo de Dano,Тип урона,
modifier.horizons.name.discovery_scanner_passive_range,Discovery Scanner Passive Range,Discovery Scanner Passive Range,,Rango Pasivo del Escaner de Descubrimiento,,Alcance do Sensor de Descoberta Passivo,Расстояние пассивной работы сканера обнаружения,
modifier.horizons.name.discovery_scanner_range,Discovery Scanner Range,Discovery Scanner Range,,Rango del Escaner de Descubrimiento,,Alcance do Sensor de Descoberta,Расстояние работы сканера обнаружения,
modifier.horizons.name.disruption_barrier_active_power,Disruption Barrier Active Power,Disruption Barrier Active Power,,Consumo activo de barrera de disrupción,,Consumo Ativo de Barreira de Disrupção,,
modifier.horizons.name.disruption_barrier_charge_duration,Disruption Barrier Charge Duration,Disruption Barrier Charge Duration,,Duración de la carga de barrera de disrupción,,Duração da Carga de Barreira de Disrupção,,
modifier.horizons.name.disruption_barrier_cooldown,Disruption Barrier Cooldown,Disruption Barrier Cooldown,,Tiempo de enfriamiento de barrera de disrupción,,Resfriamento de Barreira de Disrupção,,
modifier.horizons.name.disruption_barrier_range,Disruption Barrier Range,Disruption Barrier Range,,Alcance de barrera de disrupción,,Alcance de Barreira de Disrupção,,
modifier.horizons.name.distributor_draw,Distributor Draw,Distributor Draw,Distributor Draw,Consumo de Distribuidor,Trache du distributeur,Consumo do Distribuidor,Тяга распределителя,
modifier.horizons.name.drone_active_range,Drone Active Range,Drone Active Range,,Rango de dron activo,,Alcance Ativo do Drone,Расстояние работы дрона,
modifier.horizons.name.drone_fuel_capacity,Drone Fuel Capacity,Drone Fuel Capacity,,Capacidad de combustible del Dron,,Capacidade do Drone de Combustível,Топливная емкость дрона,
modifier.horizons.name.drone_hacking_time,Drone Hacking Time,Drone Hacking Time,,Tiempo de Hackeo del Dron,,Tempo de Hacking do Drone,Время взлома дроном,
modifier.horizons.name.drone_life_time,Drone Life Time,Drone Life Time,,Tiempo de vida del Dron,,Tempo de Vida do Drone,Время работы дрона,
modifier.horizons.name.drone_max_jettisoned_cargo,Drone Max Jettisoned Cargo,Drone Max Jettisoned Cargo,,Máxima Carga expulsada del Dron,,Capacidade Máxima de Alijamento do Drone,Максимальный объем сброшенного дроном груза,
modifier.horizons.name.drone_min_jettisoned_cargo,Drone Min Jettisoned Cargo,Drone Min Jettisoned Cargo,,Mínima carga expulsada del Dron,,Capacidade Mínima de Alijamento do Drone,Минимальный объем сброшенного дроном груза,
modifier.horizons.name.drone_multi_target_speed,Drone Multi Target Speed,Drone Multi Target Speed,,Velocidad del dron multi-objetivo,,Velocidade Multialvos do Drone,Скорость дрона в свободном режиме,
modifier.horizons.name.drone_repair_capacity,Drone Repair Capacity,Drone Repair Capacity,,Capacidad de reparación del Dron,,Capacidade de Reparo do Drone,Сила ремонта дроном,
modifier.horizons.name.drone_speed,Drone Speed,Drone Speed,,Velocidad del Dron,,Velocidade do Drone,Скорость дрона,
modifier.horizons.name.drone_target_range,Drone Target Range,Drone Target Range,,Rango de objetivo del Dron,,Raio de Alcance de Alvo do Drone,Скорость нацеленного дрона,
modifier.horizons.name.dss_patch_radius,Probe Radius,Probe Radius,Sondenradius,Radio de la sonda,Rayon de sonde,Raio da sonda,Радиус действия зонда,
modifier.horizons.name.duration,Duration,Duration,,Duración,,Duração,Продолжительность,
modifier.horizons.name.ecm_active_power_consumption,Ecm Active Power Consumption,Ecm Active Power Consumption,,Consumo de Energía Usando la Contramedida,,Consumo Ativo de Energia da CME,Активное потребление энергии ЭПД/РЭБ,
modifier.horizons.name.ecm_cooldown,Ecm Cooldown,Ecm Cooldown,,Enfriamiento de la Contramedida,,Resfriamento da CME,Время остывания ЭПД/РЭБ,
modifier.horizons.name.ecm_heat,Ecm Heat,Ecm Heat,,Calor de la Contramedida,,Calor da CME,Нагрев ЭПД/РЭБ,
modifier.horizons.name.ecm_range,Ecm Range,Ecm Range,,Rango de la Contramedida,,Alcance da CME,Дальность ЭПД/РЭБ,
modifier.horizons.name.ecm_time_to_charge,Ecm Time To Charge,Ecm Time To Charge,,Tiempo para cargar de la Contramedida,,Tempo de Carregamento da CME," Время зарядки ЭПД/РЭБ",
modifier.horizons.name.effectiveness_increase_against_munitions,Effectiveness Increase Against Munitions,Effectiveness Increase Against Munitions,Effektivitätserhöhung gegen Munition,Aumento de la efectividad contra las municiones,Augmentation de l’efficacité contre les munitions,Aumento da eficiência contra munições,Повышение эффективности боеприпасов,
modifier.horizons.name.emergency_life_support,Emergency Life Support,Emergency Life Support,,Soporte Vital de Emergencia,,Suporte de Vida de Emergência,Экстренная система жизнеобеспечения,
modifier.horizons.name.energy_per_regen,Energy Per Regen,Energy Per Regen,,Energía por Regeneración,,Energia por Regeneração,Энергии на регенерацию,
modifier.horizons.name.engine_minimum_mass,Engine Minimum Mass,Engine Minimum Mass,,Masa Mínima del Motor,,Massa Mínima do Motor,Минимальная масса,
modifier.horizons.name.engine_optimal_mass,Engine Optimal Mass,Engine Optimal Mass,,Masa Óptima del Motor,,Massa Ótima do Motor,Оптимальная масса,
modifier.horizons.name.engine_thermal_load,Engine Thermal Load,Engine Thermal Load,,Carga Térmica del Motor,,Carga Térmica do Motor,Тепловая нагрузка,
modifier.horizons.name.engines_capacity,Engines Capacity,Engines Capacity,Motorenkapazität,Capacidad de motores,Capacités de moteurs,Capacidade do Motor,Ресурс двигателей,
modifier.horizons.name.engines_recharge,Engines Recharge,Engines Recharge,Motoren laden,Recarga de motores,Moteurs recharge,Recarga do Motor,Перезарядка двигателей,
modifier.horizons.name.explosive_damage_ratio,Explosive Damage Ratio,Explosive Damage Ratio,,Razón de daño explosivo,,Razão de Dano Explosivo,Взрывной урон,
modifier.horizons.name.explosive_resistance,Explosive Resistance,Explosive Resistance,Sprengresistenz,Resistencia explosiva,Résistance explosive,Resistência explosiva,Сопр. взрывам,
modifier.horizons.name.fighter_boost_speed,Fighter Boost Speed,Fighter Boost Speed,,Velocidad del Caza en Postquemador,,Velocidade de Impulso do Caça,Скорость форсажа истребителя,
modifier.horizons.name.fighter_dps,Fighter Dps,Fighter Dps,,DPS del Caza,,Dps do Caça,УВС истребителя,
modifier.horizons.name.fighter_max_speed,Fighter Max Speed,Fighter Max Speed,,Velocidad Máxima del caza,,Velocidade Máxima do Caça,Макс. скорость истребителя,
modifier.horizons.name.fighter_pitch_rate,Fighter Pitch Rate,Fighter Pitch Rate,,Cabeceo del Caza,,Razão de Arfagem do Caça,Скорость тангажа истр.,
modifier.horizons.name.fighter_roll_rate,Fighter Roll Rate,Fighter Roll Rate,,Alabeo del Caza,,Razão de Rolamento do Caça,Скорость крена истр.,
modifier.horizons.name.fighter_yaw_rate,Fighter Yaw Rate,Fighter Yaw Rate,,Guiñada del caza,,Razão de Guinada do Caça,Скорость рыскания истр.,
modifier.horizons.name.fsd_fuel_use_increase,Fsd Fuel Use Increase,Fsd Fuel Use Increase,,Aumento del Consumo de Combustible del MDD,,Aumento do Consumo do Motor de Distorção,Увеличение потребления топлива FSD,
modifier.horizons.name.fsd_heat_rate,Fsd Heat Rate,Fsd Heat Rate,,Tasa de calor del MDD,,Razão de Calor do Motor de Distorção,Нагрев FSD,
modifier.horizons.name.fsd_interdictor_facing_limit,Facing Limit,Facing Limit,Gesichtsbegrenzung,Límite de enfrentamiento,Limite,Limite frontal,Ограничение угла перехвата,
modifier.horizons.name.fsd_interdictor_facing_limit,Fsd Interdictor Facing Limit,Fsd Interdictor Facing Limit,,Ángulo máximo del Interdictor,,Limite frontal do Interditor de Motor de Distorção,Ограничение угла перехвата,
modifier.horizons.name.fsd_interdictor_range,Fsd Interdictor Range,Fsd Interdictor Range,,Rango del Interdictor,,Alcance do Interditor de Motor de Distorção,Дальность,
modifier.horizons.name.fsd_optimised_mass,Fsd Optimised Mass,Fsd Optimised Mass,,Masa Óptima del MDD,,Massa Otimizada do Motor de Distorção,Оптимизированная масса,
modifier.horizons.name.fuel_capacity,Fuel Capacity,Fuel Capacity,,Capacidad de Combustible,,Capacidade de Combustível,Емкость,
modifier.horizons.name.fuel_cost,Fuel Cost,Fuel Cost,,Coste de Combustible,,Consumo de Combustível,Стоимость топлива,
modifier.horizons.name.fuel_efficiency,Fuel Efficiency,Fuel Efficiency,Kraftstoffeffizienz,Eficiencia de combustible,La consommation de carburant,Eficiência do combustível,Эффективность топлива,
modifier.horizons.name.fuel_multiplier,Fuel Multiplier,Fuel Multiplier,,Multiplicador de Combustible,,Multiplicador de Combustível,Множитель топлива,
modifier.horizons.name.fuel_power,Fuel Power,Fuel Power,,Energía del Combustible,,Capacidade Energética do Combustível,Интенсивность забора топлива,
modifier.horizons.name.fuel_reserve,Fuel Reserve,Fuel Reserve,,Reserva de Combustible,,Reserva de Combustível,Топливный резерв,
modifier.horizons.name.heat_capacity,Heat Capacity,Heat Capacity,,Capacidad Térmica,,Capacidade Térmica,Тепловая емкость,
modifier.horizons.name.heat_dissipation,Heat Dissipation,Heat Dissipation,Wärmeableitung,Disipación de calor,Dissipation de la chaleur,Dissipação de calor,Бонусное теплорассеяние,
modifier.horizons.name.heat_dissipation_max,Heat Dissipation Max,Heat Dissipation Max,,Máxima Disipación de Calor,,Dissipação de Calor Máxima,Максимальное теплорассеяние,
modifier.horizons.name.heat_dissipation_min,Heat Dissipation Min,Heat Dissipation Min,,Mínima Disipación de Calor,,Dissipação de Calor Mínima,Минимальное теплорассеяние,
modifier.horizons.name.heat_efficiency,Heat Efficiency,Heat Efficiency,Wärmeeffizienz,Eficiencia térmica,Efficacité thermique,Eficiência térmica,Теплоэффективность,
modifier.horizons.name.heat_reduced_when_striking_a_target,Heat Reduced When Striking A Target,Heat Reduced When Striking A Target,"Wärme reduziert, wenn ein Ziel getroffen wird",El calor se reduce cuando golpea a un objetivo,La chaleur réduite lors de la frappe d’une cible,Calor Reduzido ao Atingir Alvo,Охлаждает корабль при попадании по цели,
modifier.horizons.name.heatsink_duration,Duration,Duration,Dauer,Duración,Durée,Duração,Продолжительность,
modifier.horizons.name.hull_boost,Hull Boost,Hull Boost,Rumpfschub,Potenciador de casco,Boost de la coque,Incremento do Casco,Усиление корпуса,
modifier.horizons.name.hull_reinforcement,Hull Reinforcement,Hull Reinforcement,Rumpfverstärkung,refuerzo estructural,Renforcement de la coque,Reforço do Casco,Усилитель корпуса,
modifier.horizons.name.hull_strength,Hull Strength,Hull Strength,Rumpfstärke,Fuerza del casco,Force de coque,Força do Casco,Прочность корпуса,
modifier.horizons.name.integrity,Integrity,Integrity,Integrität,Integridad,Intégrité,Integridade,Целостность,
modifier.horizons.name.jam_duration,Jam Duration,Jam Duration,,Duración de Interferencia,,Duração de Interferência,Продолжительность подваления,
modifier.horizons.name.jitter,Jitter,Jitter,Jitter,Desviación,Giron,Nervosismo,Колебания,
modifier.horizons.name.jump_range,Jump Range,Jump Range,Sprungbereich,Rango de salto,Plage de saut,Alcance de Salto,Расстояние прыжка,
modifier.horizons.name.jump_range_increase,Jump Range Increase,Jump Range Increase,,Aumento del rango de salto,,Incremento de Alcance de Salto,Увеличение расстояния прыжка,
modifier.horizons.name.kinetic_damage_ratio,Kinetic Damage Ratio,Kinetic Damage Ratio,,Porcentaje de daño cinético,,Razão de Dano CInético,Кинетический урон,
modifier.horizons.name.kinetic_resistance,Kinetic Resistance,Kinetic Resistance,Kinetischer Widerstand,Resistencia cinética,Résistance cinétique,Resistência cinética,Сопр. кинетическому урону,
modifier.horizons.name.limpets,Limpets,Limpets,Limpets,Drones,Limpets,Drones,Дроны,
modifier.horizons.name.mass,Mass,Mass,Masse,Masa,Masse,Massa,Масса,
modifier.horizons.name.mass_lock,Mass Lock,Mass Lock,,Bloqueo de Masa,,Bloqueio de Massa,Фактор масс-лока,
modifier.horizons.name.max_active_limpets,Max Active Limpets,Max Active Limpets,,Máximo de drones activos,,Número Máximos de Drones Ativos,Макс. кол-во активных дронов,
modifier.horizons.name.max_angle,Max Angle,Max Angle,,Ángulo máximo,,Ângulo Máximo,Макс. угол,
modifier.horizons.name.max_breach_chance,Max Breach Chance,Max Breach Chance,,Porcentaje Máximo de Fisura,,Chance de Violação Máxima,Максимальный шанс пробития,
modifier.horizons.name.max_fuel_per_jump,Max Fuel Per Jump,Max Fuel Per Jump,,Máximo de Combustible por Salto,,Consumo Máximo por Salto,Максимум топлива на прыжок,
modifier.horizons.name.max_range,Max Range,Max Range,,Máximo Rango,,Alcance Máximo,Максимальное расстояние,
modifier.horizons.name.maximum_mass,Maximum Mass,Maximum Mass,,Masa Máxima,,Massa Máxima,Максимальная масса,
modifier.horizons.name.maximum_muliplier,Maximum Muliplier,Maximum Muliplier,,Multiplicador Máximo,,Multiplicador Máximo,Максимальный множитель,
modifier.horizons.name.maximum_range,Maximum Range,Maximum Range,Maximale Reichweite,Rango Máximo,Plage maximale,Alcance Máximo,Максимальная дальность,
modifier.horizons.name.min_breach_chance,Min Breach Chance,Min Breach Chance,,Porcentaje Mínimo de Fisura,,Chance de Violação Mínima,Минимальный шанс пробития,
modifier.horizons.name.min_pitch_speed,Min Pitch Speed,Min Pitch Speed,,Velocidad Mínima de Cabeceo,,Velocidade de Arfagem Mínima,Минимальная скорость тангажа,
modifier.horizons.name.mine_bonus,Mine Bonus,Mine Bonus,,Bonus de Mina,,Mine Bonus,Шахтерский бонус,
modifier.horizons.name.minimum_multiplier,Minimum Multiplier,Minimum Multiplier,,Multiplicador mínimo,,Multiplicador Mínimo,Минимальный множитель,
modifier.horizons.name.module_defence_absorption,Module Defence Absorption,Module Defence Absorption,,Módulo de absorción de defensa,,Absorção do Módulo de Defesa,Поглощение урона модулям,
modifier.horizons.name.no_damage_to_untargeted_ships,No Damage To Untargeted Ships,No Damage To Untargeted Ships,Kein Schaden an nicht gezielten Schiffen,No hace daño a naves no fijadas,Aucun dommage aux navires non ciblés,Sem danos a naves não visadas,"Не наносит урон кораблям, которые не выбраны в цель",
modifier.horizons.name.optimal_mass,Optimal Mass,Optimal Mass,Optimale Masse,Masa óptima,Masse optimale,Massa ideal,Оптимальная масса,
modifier.horizons.name.optimal_multiplier,Optimal Multiplier,Optimal Multiplier,Optimaler Multiplikator,Multiplicador óptimo,Multiplicateur optimal,Multiplicador ideal,Оптимальный усилитель,
modifier.horizons.name.part_of_damage_through_shields,Part Of Damage Through Shields,Part Of Damage Through Shields,Teil des Schadens durch Schilde,Parte del daño atraviesa los escudos,Une partie des dégâts par des boucliers,Parte dos danos através de escudos,Часть урона проходит сквозь щиты,
modifier.horizons.name.pitch_speed,Pitch Speed,Pitch Speed,,Cabeceo,,Velocidade de Arfagem,Скорость тангажа,
modifier.horizons.name.power_boost,Power Boost,Power Boost,,Incremento de energía,,Incremento de Energia,"Увеличение мощности ",
modifier.horizons.name.power_capacity,Power Capacity,Power Capacity,Leistungskapazität,Capacidad de energía,La capacité de puissance,Capacidade de Energia,Общий ресурс,
modifier.horizons.name.power_draw,Power Draw,Power Draw,Krafte,Consumo de energía,Tirage au sort,Consumo de Energia,Потребление энергии,
modifier.horizons.name.range,Range,Range,Bereich,Distancia,Varier,Alcance,Дальность,
modifier.horizons.name.rate_of_fire,Rate Of Fire,Rate Of Fire,Feuerrate,Cadencia de fuego,Taux de feu,Razão de Tiro,Скорость стрельбы,
modifier.horizons.name.refill,Refill,Refill,Nachfüllung,Reabastecer,Recharge,Reabastecimento,Пополнение,
modifier.horizons.name.regen_rate,Regen Rate,Regen Rate,Regenrate,Tasa de regeneración,Taux de régénération,Taxa de regeneração,Скорость восстановления при пробое,
modifier.horizons.name.reload_from_ship_fuel,Reload From Ship Fuel,Reload From Ship Fuel,Vom Schiffskraftstoff neu laden,Recarga desde el combustible de la nave,Recharger le carburant du navire,Recarregamento com combustível,Пополняет боеприпасы из топлива,
modifier.horizons.name.reload_time,Reload Time,Reload Time,Nachladezeit,Tiempo de recarga,Temps de rechargement,Tempo de recarregamento,Время перезарядки,
modifier.horizons.name.repair_capacity,Repair Capacity,Repair Capacity,,Capacidad de reparación,,Capacidade de Reparo,Количество ремонта,
modifier.horizons.name.repair_rating,Repair Rating,Repair Rating,,Tasa de Reparación,,Razão de Reparo,Рейтинг ремонта,
modifier.horizons.name.repair_speed,Repair Speed,Repair Speed,Reparaturgeschwindigkeit,Velocidad de reparación,Vitesse de réparation,Velocidade de Reparo,Скорость ремонта,
modifier.horizons.name.roll_speed,Roll Speed,Roll Speed,,Velocidad de Alabeo,,Velocidade de Rolamento,Скорость крена,
modifier.horizons.name.rounds_per_shot,Rounds Per Shot,Rounds Per Shot,,Munición por disparo,,Projéteis por Tiro,Снарядов за выстрел,
modifier.horizons.name.scan_angle,Scan Angle,Scan Angle,Scanwinkel,Ángulo de escaneo,Angle de balayage,Ângulo de Varredura,Угол сканирования,
modifier.horizons.name.scan_time,Scan Time,Scan Time,Scan Zeit,Tiempo de escaneo,Temps de balayage,Tempo de Varredura,Время сканирования,
modifier.horizons.name.scanner_range,Scan Range,Scan Range,Scanbereich,Rango de escaneo,Plage de balayage,Alcance de varredura,Типовой диапазон,
modifier.horizons.name.scoop_rate,Scoop Rate,Scoop Rate,,Tasa de recolección,,Razão de Coleta,Скорость забора топлива,
modifier.horizons.name.shield_boost,Shield Boost,Shield Boost,Schildschub,Incremento de escudo,Boost de bouclier,Incremento de Escudo,Усиление щитов,
modifier.horizons.name.shield_reinforcement,Shield Reinforcement,Shield Reinforcement,,Refuerzo de Escudos,,Reforço de Escudo,Усиление щита,
modifier.horizons.name.shield_sacrifice_amount_given,Shield Sacrifice Amount Given,Shield Sacrifice Amount Given,,Cantidad de sacrificio de escudo otorgado,,Sacrifício de Escudo Cedido,,
modifier.horizons.name.shield_sacrifice_amount_removed,Shield Sacrifice Amount Removed,Shield Sacrifice Amount Removed,,Cantidad de sacrificio de escudo removido,,Quantidade de Escudo Sacrificado,,
modifier.horizons.name.shieldbank_duration,Shieldbank Duration,Shieldbank Duration,,Duración del Banco de Células,,Duração de Célula de Escudo,Время работы щитонакопителя,
modifier.horizons.name.shieldbank_heat,Shieldbank Heat,Shieldbank Heat,,Calor del Banco de Células,,Calor de Célula de Escudo,Нагрев щитонакопителя,
modifier.horizons.name.shieldbank_reinforcement,Shield Reinforcement,Shield Reinforcement,Schildverstärkung,Refuerzo de escudo,Armature du bouclier,Reforço de Escudo,Усилитель щита,
modifier.horizons.name.shieldbank_spin_up,Shieldbank Spin Up,Shieldbank Spin Up,,Inicialización de Célula de Escudo,,Reinício de Célula de Escudo,Время раскрутки щитонакопителя,
modifier.horizons.name.shieldbank_spin_up,Spin Up Time,Spin Up Time,Zeit drehen,Tiempo de Inicialización,Temps de rotation,Tempo de Reinício,Время раскрутки,
modifier.horizons.name.shielded_target_heat_increased,Shielded Target Heat Increased,Shielded Target Heat Increased,Die abgeschirmte Zielwärme nahm zu,Aumenta el calor del objetivo con escudos,La chaleur cible blindé a augmenté,Aumento de Calor de Alvo com Escudo,Температура цели с щитом увеличилась,
modifier.horizons.name.shieldgen_maximum_mass,Maximum Mass,Maximum Mass,,Masa máxima,,Massa Máxima,Максимальная масса,
modifier.horizons.name.shieldgen_maximum_strength,Maximum Strength,Maximum Strength,,Fuerza Máxima,,Rigidez Máxima,Максимальная прочность,
modifier.horizons.name.shieldgen_minimum_mass,Minimum Mass,Minimum Mass,,Masa Mínima,,Massa Mínima,Минимальная масса,
modifier.horizons.name.shieldgen_minimum_strength,Minimum Strength,Minimum Strength,,Fuerza Mínima,,Rigidez Mínima,Минимальная прочность,
modifier.horizons.name.shieldgen_optimal_mass,Optimal Mass,Optimal Mass,,Masa Óptima,,Massa Ótima,Оптимальная масса,
modifier.horizons.name.shieldgen_optimal_strength,Optimal Strength,Optimal Strength,Optimale Stärke,Fuerza óptima,Force optimale,Força ideal,Оптимальная прочность,
modifier.horizons.name.shields,Shields,Shields,,Escudos,,Escudos,Щиты,
modifier.horizons.name.shot_speed,Shot Speed,Shot Speed,Schussgeschwindigkeit,Velocidad de disparo,Vitesse de tir,Velocidade de Tiro,Скорость выстрела,
modifier.horizons.name.spin_up_time,Spin Up Time,Spin Up Time,Zeit drehen,Tiempo de Inicialización,Temps de rotation,Tempo de Reinício,Время раскрутки,
modifier.horizons.name.systems_capacity,Systems Capacity,Systems Capacity,Systemkapazität,Capacidad de sistemas,Capacité des systèmes,Capacidade de sistemas,Ресурс систем,
modifier.horizons.name.systems_recharge,Systems Recharge,Systems Recharge,Systemaufladung,Recarga de sistemas,Systèmes recharge,Recarrega de Sistemas,Перезарядка систем,
modifier.horizons.name.target_armor_hardness_reduced,Target Armor Hardness Reduced,Target Armor Hardness Reduced,Zielpanzerhärte reduziert,La clase de Blindaje del Objetivo se reduce,La dureté de l’armure cible réduite,Rigidez da Blidagem do Alvo Reduzida,Прочность брони у цели уменьшается,
